Abschied nehmen von D	po¿egnaæ siê z [czymœ]
zum Abschluss bringen/kommen	zakoñczyæ
eine Ahnung haben	mieæ przeczucie, domyœlaæ siê
eine Anderung vornehmen	przeprowadziæ zmianê
Anerkennung finden	spotkaæ siê z uznaniem
einen Anfang machen	rozpocz¹æ
Angaben machen	podaæ informacje
Angst haben	baæ siê
Anklage erheben gegen A	wnieœæ oskar¿enie przeciwko [komuœ]
unter Anklage stehen	byæ oskar¿onym
zu der Ansicht gelangen	dojœæ do pogl¹du
einen Anspruch erheben auf A	wysuwaæ roszczenia [w stosunku do]
in Anspruch nehmen	wymagaæ, ¿¹daæ
Anspruch erheben auf A	roœciæ sobie prawo do
Anstrengungen unternehmen	natê¿aæ/wysilaæ siê
einen Antrag stellen auf A	postawiæ wniosek o
eine Antwort geben/erteilen	odpowiadaæ
Anwendung finden	znaleŸæ zastosowanie
in Armut geraten	zubo¿eæ
einen Auftrag bekommen	otrzymaæ zlecenie
einen Auftrag geben/erteilen	zleciæ
zum Ausdruck bringen/kommen	wyraziæ
zur Auswahl stehen	staæ przed wyborem
im Bau sein	byæ w budowie
sich im Bau befinden	znajdowaæ siê w budowie
Beachtung finden	byæ zauwa¿onym
einen Beitrag leisten zu D	przyczyniæ siê do [czegoœ]
in Betrieb setzen	uruchomiæ (Bet...)
in Bewegung setzen	uruchomiæ (Bew..)
unter Beweis stellen	udowodniæ
Bezug nehmen auf A	powo³ywaæ siê na [coœ]
eine Chance geben/bieten	daæ szansê
Druck auf ausüben auf A	wywieraæ nacisk na [coœ/kogoœ]
Eindruck machen auf A	zrobiæ wra¿enie na [kimœ]
Einfluss ausüben auf A	wywrzeæ wp³yw na [coœ/kogoœ]
unter dem Einfluss stehen	byæ pod wp³ywem
zur Einsicht gelagen	poj¹æ coœ
etw auf Eis legen	zawieszaæ coœ
zu Ende bringen	zakoñczyæ
eine Entscheidung treffen	zdecydowaæ
einen Entschluss fassen	zdecydowaæ siê
in Erfüllung gehen	spe³niæ siê
eine Erlaubnis erteilen/geben	pozwoliæ
in Erwägung ziehen	rozwa¿yæ
eine Forderung stellen/erheben	postawiæ/wysun¹æ ¿¹danie
außer Frage stehen	nie ulegaæ w¹tpliwoœci
in die Frage kommen	wchodziæ w rachubê
vor der Frage stehen	staæ przed problemem/pytaniem
eine Frage stellen	pytaæ, postawiæ pytanie
eine Freude bereiten	sprawiæ radoœæ
in Gebrauch sein	byæ w u¿yciu
in Gefahr bringen	naraziæ na niebezpieczeñstwo
im Gegensatz stehen zu D	pozostawaæ w sprzecznoœci z [czymœ/kimœ]
ein Gespräch führen	prowadziæ rozmowê
Grüße ausrichten	przekazaæ pozdrowienia
in Haft nehmen	aresztowaæ
Hilfe leisten	udzieliæ pomocy
die Hoffnung haben	mieæ nadziejê
Interesse haben an D	interesowaæ siê [czymœ]
im Irrtum sein	byæ w b³êdzie
jdm etw zur Kenntnis bringen	uœwiadomiæ komuœ coœ
einen Kompromiss schließen	zawrzeæ kompromis
Kontakt aufnehmen	nawi¹zaæ kontakt
in Kontakt stehen mit	pozostawaæ w kontakcie z [kimœ]
eine Korrekture vornehmen	poprawiæ, skorygowaæ
Kritik üben an D	krytykowaæ [coœ/kogoœ]
einen Kuss geben	ca³owaæ
sich Mühe geben	zadaæ sobie trud
Mut haben	mieæ odwagê
jdm Mut machen	dodaæ komuœ odwagi
eine Nachricht bringen/geben	powiadomiæ
in Ordnung bringen	uporz¹dkowaæ
Protest erheben	protestowaæ
Protokoll führen	protoko³owaæ
einen Ratschlag geben/erteilen	udzieliæ rady, daæ radê
eine Rede halten	przemawiaæ
Respekt genießen	byæ respektowanym
ein Risiko eingehen	zaryzykowaæ
eine Rolle spielen	odgrywaæ rolê
Rücksicht nehmen auf A	uwzglêdniaæ [coœ]
jdm die Schuld geben	obarczyæ kogoœ win¹
in Schutz nehmen	ochroniæ
unter dem Schutz stehen	byæ pod ochron¹
sich Sorgen machen um A	byæ zaniepokojonym o [coœ]
einen Spaziergang machen	spacerowaæ
unter Strafe stehen	byæ karalnym
etw unter Strafe stellen	karaæ coœ
eine Überraschung bereiten	sprawiæ niespodziankê
Unterricht geben/erteilen	udzielaæ lekcji
Untersuchungen anstellen	badaæ
eine Verabredung treffen	zawrzeæ porozumienie
unter Verdacht stehen	byæ podejrzanym
eine Vereinbarung treffen	uzgodniæ
zur Verfügung stehen	byæ do dyspozycji
zuf Verfügung stellen	postawiæ do dyspozycji
in Vergessenheit geraten	ulec zapomnieniu
in Verlegenheit/Verwirrung bringen	wprawiæ w zak³opotanie
in Verlegenheit/Verwirrung geraten	wpaœæ w zak³opotanie
Verständnis haben für A	mieæ zrozumienie dla A
einen Versuch unternehmen/machen	spróbowaæ
Vertrauen haben zu D	mieæ zaufanie do
Verwendung finden	znajdowaæ zastosowanie (V)
Vorbereitungen treffen	przygotowywaæ
einen Vorwurf machen/erheben	czyniæ zarzuty
Vorsorge treffen	czyniæ starania
eine Wahl treffen	wybieraæ
Widerspruch erheben	wysun¹æ sprzeciw
im Widerspruch stehen zu D	byæ w sprzecznoœci z [czymœ]
Widerstand leisten gegen A	stawiaæ opór [czemuœ]
eine Wirkung haben/ausüben	dzia³aæ/wywieraæ dzia³anie
einen Wunsch haben	¿yczyæ sobie
in Wut geraten	wpaœæ we wœciek³oœæ
in Zussamenhang stehen mit D	mieæ zwi¹zek z [czymœ]
in Zweifel ziehen	w¹tpiæ
außer Zweifel stehen	nie podlegaæ w¹tpliwoœci
Zweifel haben an D	w¹tpiæ w [coœ]
