eine Rede halten	przemawiaæ
eine Ahnung haben	mieæ przeczucie, domyœlaæ siê
zur Verfügung stellen	postawiæ do dyspozycji
vor der Frage stehen	staæ przed problemem/pytaniem
einen Kuss geben	ca³owaæ
in Vergessenheit geraten	ulec zapomnieniu
Grüße ausrichten	przekazaæ pozdrowienia
in Armut geraten	zubo¿eæ
eine Wirkung haben/ausüben	dzia³aæ/wywieraæ dzia³anie
Angst haben vor D	baæ siê [czegoœ]
in die Frage kommen	wchodziæ w rachubê
eine Verabredung treffen	zawrzeæ porozumienie
Interesse haben an D	interesowaæ siê [czymœ]
ein Risiko ein-gehen	zaryzykowaæ
Widerspruch erheben	wysun¹æ sprzeciw
in Erwägung ziehen	rozwa¿yæ
Protokoll führen	protoko³owaæ
Anteil nehmen an D	wzi¹æ udzia³ w [czymœ]
in Erfüllung gehen	spe³niæ siê
einen Antrag stellen auf A	postawiæ wniosek o
Mut haben	mieæ odwagê
einen Entschluss fassen	zdecydowaæ siê
zur Ansicht gelangen	dojœæ do pogl¹du
sich Mühe geben	zadaæ sobie trud
zur Verfügung stehen	byæ do dyspozycji
in Gebrauch sein	byæ w u¿yciu
einen Beitrag leisten zu D	przyczyniæ siê do [czegoœ]
zum Abschluss bringen/kommen	zakoñczyæ
eine Forderung stellen/erheben	postawiæ/wysun¹æ ¿¹danie
Protest erheben	protestowaæ
