eine Überraschung bereiten	sprawiæ niespodziankê
unter Beweis stellen	udowodniæ
in Ordnung bringen	uporz¹dkowaæ
Unterricht geben/erteilen	udzielaæ lekcji
Widerstand leisten gegen A	stawiaæ opór [czemuœ]
eine Rolle spielen	odgrywaæ rolê
einen Entschluss fassen	zdecydowaæ siê
jdm Mut machen	dodaæ komuœ odwagi
zu Ende bringen	zakoñczyæ
in Schutz nehmen	ochroniæ
unter Strafe stehen	byæ karalnym
außer Zweifel stehen	nie podlegaæ w¹tpliwoœci
etw unter Strafe stellen	karaæ coœ
Anwendung finden	znaleŸæ zastosowanie
im Irrtum sein	byæ w b³êdzie
Anstrengungen unternehmen	czyniæ wysi³ki
einen Auftrag bekommen	otrzymaæ zlecenie
eine Antwort geben/erteilen	udzieliæ odpowiedzi
in Erfüllung gehen	spe³niæ siê
Zweifel haben an D	mieæ w¹tpliwoœæ co do [czegoœ]
Hilfe leisten	udzieliæ pomocy
eine Vereinbarung treffen	uzgodniæ
Angst haben vor D	baæ siê [czegoœ]
einen Ratschlag geben/erteilen	udzieliæ rady, daæ radê
eine Chance geben/bieten	daæ szansê
in Vergessenheit geraten	ulec zapomnieniu
eine Ahnung haben	mieæ przeczucie, domyœlaæ siê
Protokoll führen	protoko³owaæ
in Haft nehmen	aresztowaæ
Beachtung finden	byæ zauwa¿onym
