zur Verfügung stellen	postawiæ do dyspozycji
in Zweifel ziehen	w¹tpiæ
ein Gespräch führen	prowadziæ rozmowê
Abschied nehmen von D	po¿egnaæ siê z [czymœ]
unter Anklage stehen	byæ oskar¿onym
Anerkennung finden	spotkaæ siê z uznaniem
vor der Frage stehen	staæ przed problemem/pytaniem
einen Antrag stellen auf A	postawiæ wniosek o
Respekt genießen	byæ respektowanym
im Bau sein	byæ w budowie
eine Korrektur vornehmen	poprawiæ, skorygowaæ
jdm etw zur Kenntnis bringen	uœwiadomiæ komuœ coœ
eine Verabredung treffen	zawrzeæ porozumienie
zum Ausdruck bringen/kommen	wyraziæ
Mut haben	mieæ odwagê
Anklage erheben gegen A	wnieœæ oskar¿enie przeciwko [komuœ]
einen Anspruch erheben auf A	wysuwaæ roszczenia [w stosunku do]
eine Anderung vor-nehmen	przeprowadziæ zmianê
unter Verdacht stehen	byæ podejrzanym
sich Sorgen machen um A	byæ zaniepokojonym o [coœ]
in Betrieb setzen	uruchomiæ (Bet...)
ein Risiko ein-gehen	zaryzykowaæ
im Gegensatz stehen zu D	pozostawaæ w sprzecznoœci z [czymœ/kimœ]
in Bewegung setzen	uruchomiæ (Bew..)
eine Rede halten	przemawiaæ
Eindruck machen auf A	zrobiæ wra¿enie na [kimœ]
Kritik üben an D	krytykowaæ [coœ/kogoœ]
Grüße ausrichten	przekazaæ pozdrowienia
Wert legen auf A	przywi¹zywaæ wagê do [czegoœ]
Eindruck machen auf A	robiæ wra¿enie na
