Verwendung finden	znajdowaæ zastosowanie (V)
Interesse haben an D	interesowaæ siê [czymœ]
einen Kompromiss schließen	zawrzeæ kompromis
Vorsorge treffen	czyniæ starania
etw auf Eis legen	zawieszaæ coœ
Angaben machen	podaæ informacje
in Anspruch nehmen	wymagaæ, ¿¹daæ
einen Versuch unternehmen/machen	spróbowaæ
Rücksicht nehmen auf A	uwzglêdniaæ [coœ]
einen Beitrag leisten zu D	przyczyniæ siê do [czegoœ]
Vertrauen haben zu D	mieæ zaufanie do
einen Auftrag geben/erteilen	zleciæ
Widerspruch erheben	wysun¹æ sprzeciw
in Erwägung ziehen	rozwa¿yæ
in Verlegenheit/Verwirrung bringen	wprawiæ w zak³opotanie
ein Zeichen setzen gegen A	sprzeciwiæ siê [czemuœ]
Verständnis haben für A	mieæ zrozumienie dla [kogoœ]
zur Auswahl stehen	byæ do wyboru
Vorwürfe machen/erheben	czyniæ zarzuty
eine Erlaubnis erteilen/geben	pozwoliæ
zum Abschluss bringen/kommen	zakoñczyæ
eine Frage stellen	pytaæ, postawiæ pytanie
jdm die Schuld geben	obarczyæ kogoœ win¹
zur Verfügung stehen	byæ do dyspozycji
in Gebrauch sein	byæ w u¿yciu
eine Wahl treffen	wybieraæ
Druck ausüben auf A	wywieraæ nacisk na [coœ/kogoœ]
Anteil nehmen an D	wzi¹æ udzia³ w [czymœ]
im Widerspruch stehen zu D	byæ w sprzecznoœci z [czymœ]
eine Nachricht bringen/geben	powiadomiæ
