in Gefahr bringen	naraziæ na niebezpieczeñstwo
die Hoffnung haben	mieæ nadziejê
einen Anfang machen	rozpocz¹æ
sich Mühe geben	zadaæ sobie trud
Zweifel haben an D	w¹tpiæ w [coœ]
sich im Bau befinden	znajdowaæ siê w budowie
Protest erheben	protestowaæ
zur Einsicht gelangen	poj¹æ coœ
außer Frage stehen	nie ulegaæ w¹tpliwoœci
Respekt haben vor D	mieæ respekt przed [czymœ]/powa¿anie dla [czegoœ]
zur Ansicht gelangen	dojœæ do pogl¹du
unter dem Einfluss stehen	byæ pod wp³ywem
in Kontakt stehen mit	pozostawaæ w kontakcie z [kimœ]
eine Wirkung haben/ausüben	dzia³aæ/wywieraæ dzia³anie
Vorbereitungen treffen	przygotowywaæ
Einfluss ausüben auf A	wywrzeæ wp³yw na [coœ/kogoœ]
einen Kuss geben	ca³owaæ
einen Spaziergang machen	spacerowaæ
einen Wunsch haben	¿yczyæ sobie
in Zussamenhang stehen mit D	mieæ zwi¹zek z [czymœ]
Bezug nehmen auf A	powo³ywaæ siê na [coœ]
in Verlegenheit/Verwirrung geraten	wpaœæ w zak³opotanie
eine Schwache/Faible haben für A	mieæ s³aboœæ do [czegoœ]
eine Freude bereiten	sprawiæ radoœæ
in Wut geraten	wpaœæ we wœciek³oœæ
Anspruch erheben auf A	roœciæ sobie pretensje do [czegoœ]
eine Forderung stellen/erheben	postawiæ/wysun¹æ ¿¹danie
Untersuchungen anstellen	badaæ
in Armut geraten	zubo¿eæ
unter dem Schutz stehen	byæ pod ochron¹
