einen Versuch unternehmen	zrobić próbę 
einen Kuss geben	całować 
jdm Grüße aus-richten	przekazać pozdrowienia [komuś] 
Hass haben auf A	żywić nienawiść do [kogoś/czegoś] 
eine Rede halten	wygłosić mowę 
jdm Bescheid geben über A	poinformować kogoś o [czymś] 
unter dem Einfluss von D stehen	być pod wpływem [czegoś] 
Respekt genießen	cieszyć się respektem 
jdm A zur Kenntnis bringen	uświadomić [komuś] [coś] 
in Verlegenheit geraten	wpaść w zakłopotanie 
Beachtung finden	być zauważonym 
A unter Beweis stellen	udowodnić [coś] 
eine Korrektur vornehmen	poprawić, skorygować 
einen Ratschlag geben/erteilen	dać/udzielić rady 
einen Antrag stellen auf A	postawić wniosek o 
Angaben machen	podać informacje 
in Kontakt stehen mit	pozostawać w kontakcie z [kimś] 
eine Antwort geben	dać odpowiedź 
A in Anspruch nehmen	wymagać [czegoś]/wykorzystać [coś] 
in Betrieb setzen	uruchomić (Bet.) 
Widerstand leisten gegen A	stawiać opór [czemuś] 
eine Rolle spielen	odgrywać rolę 
eine Freude bereiten	sprawić radość 
Zweifel haben an D	wątpić w [coś] 
in Wut geraten	wpaść we wściekłość 
die Hoffnung haben	mieć nadzieję 
jdm eine Chance geben/bieten	dać szansę [komuś] 
eine Entscheidung treffen	podjąć decyzję 
in Zussamenhang stehen mit D	pozostawać w związku z [czymś] 
eine Verabredung treffen	zawrzeć porozumienie 
Mitleid haben mit D	współczuć [komuś] 
A zu Ende bringen	zakończyć [coś] 
unter Strafe stehen	być karalnym 
