jdm Mut machen	dodać komuś odwagi 
außer Frage stehen	nie ulegać wątpliwości 
eine Schwache haben für A	mieć słabość do [czegoś] 
Druck ausüben auf A	wywierać nacisk na [coś/kogoś] 
in Bewegung setzen	uruchomić (Bew.) 
einen Anfang machen	rozpocząć 
A in Zweifel ziehen	podawać [coś] w wątpliwość 
Interesse haben an D	interesować się [czymś] 
A auf Eis legen	zawieszać [coś] 
zur Einsicht gelangen	pojąć coś 
einen Kompromiss schließen	zawrzeć kompromis 
Vertrauen haben zu D	mieć zaufanie do 
einen Auftrag bekommen	otrzymać zlecenie 
wegen etw G unter Anklage stehen	być oskarżonym [o coś] 
A in Ordnung bringen	uporządkować [coś] 
im Bau sein	być w budowie 
zum Abschluss bringen/kommen	doprowadzić/dojść do zakończenia 
eine Wirkung haben/ausüben	działać/wywierać działanie 
einen Spaziergang machen	spacerować 
Anspruch erheben auf A	rościć sobie pretensje do [czegoś] 
vor der Frage stehen	stać przed problemem/pytaniem 
Unterricht geben/erteilen	udzielać lekcji 
in Gebrauch sein	być w użyciu 
Anwendung finden	znaleźć zastosowanie 
einen Entschluss fassen	zdecydować się 
A unter Strafe stellen	karać coś 
eine Wahl treffen	wybierać 
unter dem Schutz stehen	być pod ochroną 
zum Ausdruck bringen/kommen	wyrazić 
eine Chance war-nehmen	skorzystać z szansy 
Verständnis haben für A	mieć zrozumienie dla [kogoś] 
in Verlegenheit bringen	wprawić w zakłopotanie 
einen Auftrag geben/erteilen	dać/przydzielić zlecenie 
