in Vergessenheit geraten	ulec zapomnieniu 
zur Verfügung stellen	postawić do dyspozycji 
eine Antwort erteilen	udzielić odpowiedzi 
Anerkennung finden	spotkać się z uznaniem 
eine Nachricht bringen	przynieść wiadomość 
jdm wegen G Vorwürfe machen/erheben	czynić [komuś zarzuty] z powodu [czegoś] 
einen Beitrag leisten zu D	przyczynić się do [czegoś] 
in Gefahr bringen	narazić na niebezpieczeństwo 
in Erfüllung gehen	spełnić się 
zur Auswahl stehen	być do wyboru 
ein Gespräch führen	prowadzić rozmowę 
einen Anspruch erheben auf A	wysuwać roszczenia [w stosunku do] 
Angst haben vor D	bać się [czegoś] 
Eindruck machen auf A	zrobić wrażenie na [kimś] 
unter Verdacht stehen	być podejrzanym 
ein Zeichen setzen gegen A	sprzeciwić się [czemuś] 
Bezug nehmen auf A	powoływać się na [coś] 
in Erwägung ziehen	rozważyć 
außer Zweifel stehen	nie podlegać wątpliwości 
Rücksicht nehmen auf A	uwzględniać [coś] 
Widerspruch erheben	wysunąć sprzeciw 
Protokoll führen	prowadzić protokół 
im Widerspruch stehen zu D	być w sprzeczności z [czymś] 
eine Überraschung bereiten	sprawić niespodziankę 
jdm die Schuld geben	obarczyć kogoś winą 
sich D Mühe geben	zadać sobie trud 
sich Sorgen machen um A	być zaniepokojonym o [coś] 
Mut haben etw zu machen	odważyć się na coś 
Wert legen auf A	przywiązywać wagę do [czegoś] 
ein Risiko ein-gehen	podjąć ryzyko 
Kritik üben an D	krytykować [coś/kogoś] 
Hilfe leisten	udzielić pomocy 
