eine Frage stellen	pytać, postawić pytanie 
zur Ansicht gelangen	dojść do poglądu 
im Gegensatz stehen zu D	pozostawać w sprzeczności z [czymś/kimś] 
eine Vereinbarung treffen	uzgodnić 
Zweifel haben an D	mieć wątpliwość co do [czegoś] 
Vorbereitungen treffen für A	czynić przygotowania do [czegoś] 
in Armut geraten	popaść w ubóstwo 
Anstrengungen unternehmen	podejmować wysiłki 
eine Erlaubnis erteilen/geben	udzielić/dać pozwolenie 
eine Anderung vor-nehmen	przeprowadzić zmianę 
jdn in Haft nehmen	aresztować [kogoś] 
einen Versuch unternehmen	podjąć próbę 
sich im Bau befinden	znajdować się w budowie 
Kontakt aufnehmen	nawiązać kontakt 
Abschied nehmen von D	pożegnać się z [czymś] 
im Irrtum sein	być w błędzie 
Eindruck machen auf A	robić wrażenie na 
Anklage erheben gegen A	wnieść oskarżenie przeciwko [komuś] 
eine Ahnung haben	mieć przeczucie 
A in Schutz nehmen	ochronić 
in die Frage kommen	wchodzić w rachubę 
einen Wunsch haben	życzyć sobie 
Einfluss ausüben auf A	wywrzeć wpływ na [coś/kogoś] 
eine Nachricht geben	przekazać wiadomość 
Protest erheben	wysunąć protest 
Anteil nehmen an D	wziąć udział w [czymś] 
Verwendung finden	znajdować zastosowanie (V.) 
Vorsorge treffen	czynić starania 
Untersuchungen anstellen	badać 
Respekt haben vor D	mieć respekt przed [czymś] 
eine Forderung stellen/erheben	postawić/wysunąć żądanie 
zur Verfügung stehen	być do dyspozycji 
