bestehen/beharren auf D	obstawaæ przy [czymœ]
denken an A	myœleæ o
sich gewöhnen an A	przyzwyczaiæ siê do
schmecken nach D	mieæ smak [czegoœ]
verzichten auf A	zrezygnowaæ z [czegoœ]
auf-passen auf A	uwa¿aæ na (auf)
halten für A	uwa¿aæ za
fragen nach D	pytaæ o
sich ein-setzen für A	opowiadaæ siê za
sich an-passen an A	dostosowaæ siê do
übersetzen in A	przet³umaczyæ na
aufmerksam machen auf A	zwracaæ uwagê na
heran-kommen an A	zbli¿aæ siê do [czegoœ]
sich ärgern über A	z³oœciæ siê z powodu
helfen bei D	pomagaæ w
gehören zu D	nale¿eæ do
passen zu D	pasowaæ do
beruhen auf D	opieraæ siê na (be)
sich entschließen zu D	zdecydowaæ siê na (entschl)
sich auf-regnen über A	denerwowaæ siê z powodu
entscheiden über A	decydowaæ o
zu tun haben mit D	mieæ do czynienia z [czymœ/kimœ]
folgen/resultieren aus D	wynikaæ z (f/r)
Anteil nehmen an D	wzi¹æ w czymœ udzia³
sich entsinnen an A	przypominaæ sobie [kogoœ/coœ] (en..)
sorgen für A	zadbaæ/troszczyæ siê o [coœ]
ein Zeichen setzen gegen A	sprzeciwiæ siê [czemuœ]
sich freuen über A	cieszyæ siê z
ändern an D	zmieniaæ w [czymœ]
sich halten an A	trzymaæ siê [czegoœ]
zusammen-arbeiten mit D	wspó³pracowaæ z
an-fangen/beginnen mit D	zaczynaæ [coœ] od
profitieren von D	skorzystaæ z
