stolpern über A	potkn¹æ siê o [coœ]
sich schämen für A	wstydziæ siê za
sich (bei jdm) entschuldigen für A	usprawiedliwiæ siê (przed kimœ) z powodu
sich zurecht-finden in D	orientowaæ siê w [mieœcie/otoczeniu] (z)
vorbei-gehen an D	przechodziæ obok
verfügen über A	dysponowaæ [czymœ]
jdm erpressen mit D	szanta¿owaæ kogoœ [czymœ]
auf-wiegen durch A	zrównowa¿yæ za pomoc¹ [czegoœ]
sich trennen von D	rozstaæ siê z
hungrig sein auf A	mieæ apetyt na [coœ]
dienen zu D	s³u¿yæ do
sich beschränken/begrenzen auf D	ograniczaæ siê do
sich aus-kennen in D	orientowaæ siê w
ein-laden zu D	zapraszaæ na
an-knüpfen an A	przywi¹zaæ do [czegoœ]
heraus-kommen bei D	wyjœæ, wynikaæ z
appelieren an A	zaapelowaæ do
aus-gehen von D	pochodziæ od [czegoœ]/mieæ swoje Ÿród³o w [czymœ]
sich ein-stellen auf A	nastawiæ siê na
verzweifeln an D	zw¹tpiæ w [coœ]
kranken an D	chorowaæ na [coœ]
arbeiten an D	pracowaæ nad
zusammen-stoßen mit D	zderzyæ siê z
halten von D	s¹dziæ o (h)
an-kommen/ein-treffen in D	przybyæ do
bestehen in D	polegaæ na
sich vor-bereiten auf A	przygotowywaæ siê do
sich erschrecken vor D	przestraszyæ siê [kogoœ/czegoœ]
leiden unter D	cierpieæ z powodu
sich verabschieden/Abschied nehmen von D	po¿egnaæ siê z
sterben an D	umrzeæ na
zweifeln an D	w¹tpiæ w
ab-sehen von D	abstrahowaæ od
