werden aus D	staæ siê/&quot;wyrosn¹æ&quot; z
liefern an A	dostarczaæ [komuœ]
schuld sein an D	byæ winnym [czegoœ]
zuständig sein für A	byæ odpowiedzialnym za
jdn aus-schließen aus D	usun¹æ, wykluczyæ kogoœ z [czegoœ]
gut aus-kommen mit D	wytyrzymywaæ z [kimœ]
liegen an D	zale¿eæ od (l)
Wert legen auf A	przywi¹zywaæ wagê do [czegoœ]
(sich) schützen vor D	chroniæ (siê) przed [czymœ]
etw legen/an-lehnen an A	opieraæ coœ na [czymœ]
neigen zu D	mieæ tendencjê do [czegoœ]
duften nach D	pachnieæ [czymœ] (d)
sich irren in D	pomyliæ siê w
fehlen an D	brakowaæ [czegoœ] (f)
an-stehen nach D	staæ w kolejce po [coœ]
sich versichern gegen A	ubezpieczyæ siê od
sich beschäftigen/befassen mit D	zajmowaæ siê [czymœ]
investieren in A	inwestowaæ w
(sich) streiten um A	k³óciæ siê o
sich beziehen auf A	odnosiæ siê do (b)
erfahren von D	dowiedzieæ siê o [czymœ]
hoffen auf A	mieæ nadziejê na
zwingen zu D	zmuszaæ do
bürgern für A	gwarantowaæ [coœ]
sich kümmern/sorgen um A	troszczyæ siê o
verstoßen gegen A	wykroczyæ przeciw
sich bescheiden mit D	zadowoliæ siê [czymœ]
sich aus-wirken auf A	oddzia³ywaæ na
an-rufen bei D	zatelefonowaæ do
ab-weichen von D	odbiegaæ od/ró¿niæ siê od [czegoœ]
mischen mit D	mieszaæ z
reagieren auf A	reagowaæ na
sich wehren gegen A	broniæ siê przeciw
