zurecht-kommen mit D	dogadywaæ siê z [kimœ]
leiden an D	cierpieæ na
verloben mit D	zarêczyæ siê z
es handelt um A	chodzi o (h)
mangeln an D	brakowaæ [czegoœ] (m)
erkranken an D	zachorowaæ na
neugierig sein an A	byæ ciekawym [czegoœ]
sich äußern zu D	wyraziæ swoje zdanie co do [czegoœ]
gelten für A	odnosiæ siê do (g)
informieren über A	informowaæ o
glauben an A	wierzyæ w
achten auf A	uwa¿aæ na (ach)
ersetzen durch A	zast¹piæ [czymœ]
vorbei-schauen bei D	zagl¹daæ, wst¹piæ do [kogoœ]
sich ab-finden mit D	pogodziæ siê z
bitten um A	prosiæ o
erkennen an D	rozpoznaæ po
sein gegen A	byæ przeciwko
ein-laden in A	zapraszaæ do
mit-machen bei D	wzi¹æ udzia³ [w czymœ] (m)
verwandeln in A	przeobraziæ siê w
bei-tragen zu D	przyczyniaæ siê do
sich erinnern an A	przypominaæ sobie [coœ]/[kogoœ]
zurück-kommen auf A	powróciæ do
riechen nach D	pachnieæ [czymœ] (r)
befreien von D	uwolniæ od
sich engagieren für A	zaanga¿owaæ siê [w]
trauern um A	op³akiwaæ [kogoœ]/smuciæ siê z powodu [czegoœ]
sein für A	byæ za
sich konzentrieren auf A	koncentrowaæ siê na
sprechen von D/über A	rozmawiaæ o
herrschen über A	panowaæ nad
