staunen über A	dziwiæ siê [komuœ/czemuœ]
sich unterhalten über A	rozmawiaæ o (u)
klagen über A	skar¿yæ siê na
handeln von D	traktowaæ o [czymœ]
auf-hören mit D	przestawaæ, skoñczyæ z
begeistert sein von D	byæ zachwyconym [czymœ]
nach-denken über A	zastanawiaæ siê nad
ab-hängen von D	zale¿eæ od (ab)
zeugen von D	œwiadczyæ o [czymœ]
unterscheiden von D	odró¿niaæ od
schreiben an A	pisaæ do
sich bewerben um A	ubiegaæ siê o
sich rächen an D	zemœciæ siê na
jdn an-sprechen auf A	zwróciæ siê do kogoœ w sprawie [czegoœ]
vorbei-kommen bei D	wpaœæ do [kogoœ]
warten auf A	czekaæ na
aus-rutschen auf D	poœlizgn¹æ siê na [czymœ]
aus-lassen an D	wy³adowywaæ siê na [kimœ/czymœ]
jdm Bescheid geben über A	poinformowaæ kogoœ/daæ komuœ znaæ o [czymœ]
jdn unterstützen bei D	pomagaæ komuœ/wspieraæ kogoœ w [czymœ]
überreden zu D	namówiæ do [czegoœ]
geraten in A	popaœæ w
sich interessieren für A	interesowaæ siê [czymœ]
rufen nach D	wo³aæ [kogoœ]
sich bewaffnen mit D	uzbrajaæ siê w [coœ]
sich erholen von D	odpocz¹æ od/wydobrzeæ po
sich wundern über A	dziwiæ siê z powodu
sich reißen um A	zabijaæ siê o [coœ] (pot.)
stammen aus D	wywodziæ siê z
bleiben bei D	pozostaæ przy
