kandidieren für A	kandydowaæ do
hängen an D	byæ przywi¹zanym do [kogoœ]
suchen nach D	poszukiwaæ [czegoœ]/[kogoœ]
sich bemühen um A	staraæ siê o
sich sehnen nach D	têskniæ za
schreiben über A	pisaæ o
dividieren durch A	dzieliæ przez (d)
teil-nehmen an D	braæ udzia³ w
führen zu D	prowadziæ do
aus-kommen mit D	rozumieæ siê z [kimœ]
verstehen von D	znaæ siê na [czymœ]
es geht um A	chodzi o (g)
vorbei-reden an A	mówiæ o czymœ innym ni¿ rozmówca, nie rozumieæ siê w sprawie [czegoœ]
Angst haben vor D	baæ siê [czegoœ] (A)
ein-steigen in A	wsi¹œæ do [pojazdu]
werden zu D	stawaæ siê [czymœ]
beneiden (jdn) um A	zazdroœciæ (komuœ) [czegoœ]
kämpfen für A/um A	walczyæ o
sich entwickeln zu D	rozwin¹æ siê do [czegoœ]/w [coœ]
klar-kommen mit D	dawaæ sobie z czymœ radê
sich entscheiden für A	zdecydowaæ siê na (entsche)
verbinden mit D	po³¹czyæ z
über-gehen zu D	przejœæ do
sich ab-heben von D	odró¿niaæ siê od [czegoœ]
warnen vor D	ostrzegaæ przed [czymœ]
rechnen mit D	liczyæ siê z [czymœ]
sich berufen auf A	powo³ywaæ siê na
hin-weisen auf A	wskazaæ/zwróciæ uwagê na
antworten auf A	odpowiadaæ na
Respekt haben vor D	mieæ respekt przed [czymœ]/powa¿anie dla [czegoœ]
