sich richten nach D	kierowaæ siê [czymœ]
sich erkundigen nach D	dowiadywaæ siê o [coœ]
basteln an D	majsterkowaæ przy [czymœ]
erzählen über A/von D	opowiedzieæ o
klingen nach D	brzmieæ jak [coœ]
sich verschanzen hinter D	ukrywaæ siê za [czymœ]
zurück-gehen auf A	mieæ pocz¹tek w [czymœ], siêgaæ [czegoœ]
sich treffen mit D	spotykaæ siê z
grenzen an A	graniczyæ z
versorgen mit D	zaopatrywaæ w
telefonieren mit D	rozmawiaæ przez telefon z
überzeugen von D	przekonaæ o
an-kommen auf A	zale¿eæ od (an)
berechtigen zu D	uprawniaæ do
sich ekeln vor D	brzydziæ siê [czegoœ]
Eindruck machen auf A	robiæ wra¿enie na
sich fürchten vor D	baæ siê [czegoœ] (f)
teilen durch A	dzieliæ przez (t)
fließen durch A	przep³ywaæ przez
sich ergeben aus D	wynikaæ z (e)
sich wieder-spiegeln in D	odbijaæ/odzwierciedlaæ siê w [czymœ]
basieren auf D	opieraæ siê na (ba)
raten zu D	doradzaæ [coœ]
gratulieren zu D	gratulowaæ z [okazji]
Zweifel haben an D	mieæ w¹tpliwoœæ co do [czegoœ]
sich wenden an A	zwracaæ siê do
sich freuen auf A	cieszyæ siê na
greifen nach D	siêgaæ po
sich an-melden für A	zapisaæ siê na
sich verlieben in A	zakochaæ siê w
