ändern an D	zmieniaæ w [czymœ]
sich an-passen an A	dostosowaæ siê do
appelieren an A	zaapelowaæ do
arbeiten an D	pracowaæ nad
sich beteiligen an D	uczestniczyæ w
denken an A	myœleæ o
sich erinnern an A	przypominaæ sobie [coœ]/[kogoœ]
erkennen an D	rozpoznaæ po
erkranken an D	zachorowaæ na
fehlen an D	brakowaæ [czegoœ] (f)
gewinnen an D	zyskiwaæ na
glauben an A	wierzyæ w
grenzen an A	graniczyæ z
sich halten an A	trzymaæ siê [czegoœ]
hängen an D	byæ przywi¹zanym do [kogoœ]
sich gewöhnen an A	przyzwyczaiæ siê do
leiden an D	cierpieæ na
liegen an D	zale¿eæ na/od (l)
liefern an A	dostarczaæ [komuœ]
mangeln an D	brakowaæ [czegoœ] (m)
sich rächen an D	zemœciæ siê na
scheitern an D	rozbijaæ siê o
schreiben an A	pisaæ do
sterben an D	umrzeæ na
teil-nehmen an D	braæ udzia³ w
vor-beigehen an D	przechodziæ obok
sich wenden an A	zwracaæ siê do
zweifeln an D	w¹tpiæ w
achten auf A	uwa¿aæ na (ach)
an-kommen auf A	zale¿eæ od (an)
antworten auf A	odpowiadaæ na
auf-passen auf A	uwa¿aæ na (auf)
aufmerksam machen auf A	zwracaæ uwagê na
sich aus-wirken auf A	oddzia³ywaæ na
basieren auf D	opieraæ siê na (ba)
beruhen auf D	opieraæ siê na (be)
sich beschränken/begrenzen auf D	ograniczaæ siê do
sich berufen auf A	powo³ywaæ siê na
bestehen/beharren auf D	obstawaæ przy [czymœ]
sich beziehen auf A	odnosiæ siê do (b)
Eindruck machen auf A	robiæ wra¿enie na
sich ein-stellen auf A	nastawiæ siê na
sich freuen auf A	cieszyæ siê na
hin-weisen auf A	wskazaæ/zwróciæ uwagê na
hoffen auf A	mieæ nadziejê na
sich konzentrieren auf A	koncentrowaæ siê na
rechnen auf A	liczyæ na
sich verlassen auf A	zdaæ siê, polegaæ na
verzichten auf A	zrezygnowaæ z [czegoœ]
sich vor-bereiten auf A	przygotowywaæ siê do
warten auf A	czekaæ na
zurück-führen auf A	daæ siê czymœ wyjaœniæ
zurück-kommen auf A	powróciæ do
bestehen aus D	sk³adaæ siê z
sich ergeben aus D	wynikaæ z (e)
folgen/resultieren aus D	wynikaæ z (f/r)
stammen aus D	wywodziæ siê z
werden aus D	staæ siê/"wyrosn¹æ" z
an-rufen bei D	zatelefonowaæ do
bleiben bei D	pozostaæ przy
helfen bei D	pomagaæ w
heraus-kommen bei D	wyjœæ, wynikaæ z
vorbei-kommen bei D	wpaœæ do [kogoœ]
