e Schnittstelle, -n	interfejs (+ Pl.)
e Maßnahme	krok, œrodek, posuniêcie 
ausgeprägt	wyostrzony (np. zmys³)/wydatny (np. podbródek) 
s Lichtbild, -er	zdjêcie do dokumentów (+ Pl.)
e Überschrift, -en	nag³ówek (+ Pl.)
e Berufserfahrung	doœwiadczenie zawodowe 
e Sprachkenntnisse	znajomoœæ jêzyka 
e Muttersprache	jêzyk ojczysty 
fließend	p³ynny (np. znajomoœæ jêzyka) 
e Grundkenntnisse	podstawowa znajomoœæ (np. jêzyka) 
e Unterschrift	podpis 
s Praktikum, -a	praktyka (+ Pl.)
e Weiterbildung	dokszta³canie siê 
e EDV-Kenntnisse	znajomoœæ technik elektronicznego przetwarzania danych 
Fremdsprachenkenntnisse ein-setzen	zastosowaæ znajomoœæ jêzyka obcego 
r Schwerpunkt	istotny punkt, œrodek ciê¿koœci 
beherrschen	opanowaæ (np. umiejêtnoœæ) 
r Bereich	obszar, zakres 
s Gebiet	obszar 
e Eigenschaft, -en	cecha, w³aœciwoœæ (+ Pl.)
erfüllen	realizowaæ, wype³niaæ 
e Herausrofderung	wyzwanie 
e Anforderung	wymaganie, ¿¹danie 
e Annonce	og³oszenia 
aufgrund	z powodu, na podstawie 
e Kenntnis, -se	wiadomoœæ (wiedza) (+ Pl.)
selbstständig	niezale¿ny samodzielny 
umfassend	szeroki, kompleksowy 
e Hölle	piek³o 
r Igel	je¿ 
s Gespenst, -er	duch, zjawa (+ Pl.)
r Vorgesetzte	prze³o¿ony 
e Bedenkzeit	czas do namys³u 
s Austauschprogramm	program wymiany (np. pracowników) 
weitgehend	daleko id¹cy 
aus-erwählen	wybraæ kogoœ do zrobiena czegoœ 
versetzen	przenieœæ (np. pracownika do innego miasta) 
e Auszeichnung	wyró¿nienie 
e Teilnahme	udzia³, uczestnictwo 
sich scheuen vor D	baæ siê [czegoœ] (s) 
vertraut	zaufany, swojski 
s Zugeständnis, -se	ustêpstwo (+ Pl.)
ab-lehnen	za³atwiæ odmownie 
etw aus-handeln	wynegocjowaæ coœ 
e Sachlage	stan rzeczy 
r Einwand, ä-e	zarzut (+ Pl.)
darlegen	objaœniaæ, przedstawiaæ 
Is sehe nicht ein, dass ...	Nie widzê tego, ¿e ... 
Ich kann auf keinen Fall ...	Nie mogê w ¿adnym wypadku ... 
Das leuchtet ein.	To jest przekonuj¹ce. 
Da muss ich widersprechen.	Tu muszê siê sprzeciwiæ. 
Das geht auf keinen Fall.	To w ¿adnym wypadku nie przejdze. 
Das konnte ein Ausweg sein.	To mog³oby byæ wyjœcie. 
Ich habe ein Problem damit, dass ...	Mam problem z tym, ¿e ... 
herrschen	panowaæ 
s Schwätzchen	pogawêdka 
Anteil haben an D	mieæ udzia³ w [czymœ] 
ätzend	denerwuj¹cy 
aufdringlich	natrêtny 
e Zaun, ä-e	p³ot, ogrodzenie (+ Pl.)
ehemalig	by³y 
sich in eind Gemeinschaft eingebunden fühlen	czuæ siê czêœci¹ wspólnoty 
zuvorkommend	uprzejmy, us³u¿ny 
e Kurzarbeit	praca w niepe³nym wymiarze godzin 
vielfältig	rozmaity, wieloraki 
glänzen	lœniæ 
wiederum	znowu 
r Untergebene, -n	podw³adny (+ Pl.)
sich nicht trauen etw zu tun	nie odwa¿yæ siê czegoœ zrobiæ 
stumm	niemy 
verhärten	utwardzaæ, twardnieæ 
auf Widerstandt stoßen	napotykaæ na opór 
r Unbeteiligte	osoba postronna 
r Beteiligte	uczestnik, osoba zainteresowana 
ab-wägen	rozwa¿aæ 
vermitteln	poœredniczyæ 
schulpflichtiger Alter	wiek szkolny 
ein-schränken	ograniczaæ 
r Hahn	kogut 
finster	mroczny, ciemny 
e Herberge	schronisko  
e Erörterung	rozprawa/rozprawka 
e Aufsichtspflicht	obowi¹zek nadzoru 
reif	dojrza³y 
übersichtlich	przejrzysty 
e Abwechslung	urozmaicenie, odmiana 
auf dem Laufenden sein mit D	byæ na bie¿¹co z [czymœ] 
Meiner Überzeugung nach ...	Wed³ug mojego przekonania ... 
ab-spielen	odtwarzaæ/rozgrywaæ siê 
etw an sich reißen	przyw³aszczyæ sobie coœ 
jdn im Stich lassen	zostawiæ kogoœ na lodzie 
etw D auf den Grund gehen	gruntownie coœ badaæ 
s Ungeheuer	potwór 
e Einleitung	wstêp 
e Stoffsammlung	zbieranie materia³u (np. do artyku³u) 
e Begründung	uzasadnienie 
zur Veranschaulichung	dla zilustrowania 
triftig	przekonuj¹cy, wa¿ki 
anhand G	na podstawie [czegoœ] 
r Sachverhalt, -e	stan faktyczny (+ Pl.)
entkräften	os³abiaæ 
passable	mo¿liwy, znoœny 
r Umstand, ä-e	okolicznoœæ (+ Pl.)
e Verpflichtung	obowi¹zek 
s Durchsetzungsvermögen	asertywnoœæ 
vorübergehende Probleme	przejœciowe problemy 
ohne Begleitung	bez towarzystwa 
gegebenenfalls	ewentualnie 
jdn haftbar machen für A	uczyniæ kogoœ odpowiedzialnym za [coœ] 
zu jdm stoßen	przy³¹czyæ siê do kogoœ 
jdn belästigen	nagabywaæ kogoœ 
jdn überfallen	napadaæ (na) kogoœ 
von zu Hause aus arbeiten	pracowaæ w domu 
r Betrachter	obserwator 
r Betrüger	oszust 
den Entschluss fassen	podj¹æ decyzjê 
die Ansicht verteten	reprezentowaæ pogl¹d 
eine Wahl treffen	dokonaæ wyboru 
einen Standpunkt vertreten	reprezentowaæ punkt widzenia 
einleuchten	trafiaæ do przekonania 
erhöhern	podwy¿szaæ 
e Farbgebung	dobór barw 
e Gebühr, -en	nale¿noœæ (+ Pl.)
im Recht sein	mieæ s³usznoœæ 
im Unterschied zu	w odró¿nieniu od 
in Anspruch nehmen	poch³aniaæ, skorzystaæ z czegoœ 
in Frage kommen	wchodziæ w rachubê 
s Interesse	zainteresowanie 
r Kunde, -n	klient (+ Pl.)
e Perspektive	perspektywa 
e Qualität	jakoœæ 
Regeln einhalten	przestrzegaæ regu³ 
e Schnäppchenjagd	polowanie na okazje 
sich in Acht nehmen	mieæ siê na bacznoœci przed kimœ 
e Sorge	zmartwienie, troska 
über etw verfügen	dysponowaæ czymœ 
übersehen	oceniaæ, ogarniaæ 
ums Leben kommen	straciæ ¿ycie 
r Verkauf	sprzeda¿ 
versteigern	licytowaæ 
Vorbereitungen treffen	czyniæ przygotowania do 
r Wertgegenstand, ä-e	przedmiot wartoœciowy (+ Pl.)
zur Folge haben	poci¹gaæ za sob¹ 
