verlangen	¿¹daæ, domagaæ siê 
Es ist glatt.	Jest œlisko. 
entstandene Schaden beseitigen	zlikwidowaæ powsta³e szkody 
ein-engen	zawê¿aæ, ograniczaæ 
e Ratlosigkeit	bezradnoœæ 
r Anreiz, -e	zachêta (+ Pl.)
e Enttäuschung	rozczarowanie 
e Ankündigung	zapowiedŸ 
e Errungenschaft	zdobycz, osi¹gniêcie 
e Trauer	¿a³oba 
r Adler	orze³ 
anstatt	zamiast 
dürfte	prawdopodobnie (mod.) (ok. 75%) 
vertraulich	poufny 
r Fallschirm, -e	spadochron (+ Pl.)
blasen, bläst, blies, h, geblasen	d¹æ, wiaæ (o wietrze) (+ Präsens, Imperfekt, P. II)
von zu Hause aus	z domu (np. pracowaæ z domu) 
muss/kann nicht	na pewno/na pewno nie (mod.) (ok. 98%) 
im Vergleich/Unterschied/Gegensatz zu D	w porównaniu z [czymœ]/odró¿nieniu od/przeciwieñstwie do [czegoœ] 
s Darlehen, -	po¿yczka (+ Pl.)
r Umschlag, ä-e	koperta (+ Pl.)
einen Vorschlag an-nehmen/ab-lehnen	przyj¹æ/odrzuciæ propozycjê 
zittern	dr¿eæ 
kaum vorstellbar	ledwie wyobra¿alny 
e Pflaume, -n	œliwka (+ Pl.)
aus-brechen	wybuchaæ (o wulkanie) 
tiefsinnig	g³êboki (np. myœl) 
e Aufforderung	wezwanie, zachêta 
frankieren	nalepiaæ znaczek 
zitieren	cytowaæ 
grausam	okrutny 
e Schärfe	ostroœæ 
ein-engen	ograniczaæ 
r Aufwand	nak³ad dodatkowy 
überstehen	znieœæ (np. obci¹¿enie), przebyæ (np. chorobê) 
ausschließlig	wy³¹cznie 
s Gras	trawy 
e Schüchternheit	nieœmia³oœæ 
hitzefrei bekommen	nie mieæ zajêæ z powodu upa³u 
Mietrückstand von 2 Monaten	zaleg³y dwumiesiêczny czynsz 
