e Begrüßung/r Abschied	powitanie/po¿egnanie 
weiterhin	nadal/ponadto 
r Krokus, -se	krokus (+ Pl.)
vorher-sagen	prognozowaæ, przewidywaæ 
ferner	poza tym/dalej 
e Blüte, -n	kwiat (+ Pl.)
mitleidig	litoœciwy 
wahrnehmen	postrzegaæ 
Wie gehts dir denn?	Jak ci idzie (w³aœciwie)?  
s Netz, -e	sieæ (pajêczyna) (+ Pl.)
r Frosch, ö-e	¿aba (+ Pl.)
e Flut/e Ebbe	przyp³yw/odp³yw 
eine Gefahr ahnen	przeczuwaæ niebezpieczeñstwo 
verlegen	zak³opotany 
enthüllen	ods³aniaæ (np. prawdê) 
verständnisvoll	wyrozumia³y, pe³en zrozumienia 
müsste	prawie na pewno (mod.) (ok. 90%) 
r Dorn, -en	cierñ, kolec (+ Pl.)
e Windhose	tr¹ba powietrzna 
e Prise	szczypta 
s Kraut, ä-er	zio³o (+ Pl.)
ein-frieren	zamarzaæ 
vorwiegend	przewa¿nie 
vertrauenswürdig	godny zaufania 
zerknirscht	skruszony 
Woran liegt es?	Od czego to zale¿y? 
für die Schäden haften	odpowiadaæ za szkody 
die Absicht haben	mieæ zamiar 
Untermietung ist nicht gestattet	podnajem jest niedozwolony 
etwas zu gewerblichen Zwecken nutzen	u¿ywaæ czegoœ do celów rzemieœlniczych/przemys³owych 
s Unkraut, ä-er	chwast (+ Pl.)
r Stacheldraht, ä-e	drut kolczasty (+ Pl.)
höchstwahrscheinlich	najprawdopodobniej (ok. 90%) 
e Hilfe anbieten	zaoferowaæ pomoc 
e Dürre	susza 
winden	wiæ siê 
schweben	unosiæ siê (w powietrzu) 
r Mehraufwand	nak³ad dodatkowy 
nach-ahmen	naœladowaæ 
e Handlung	akcja (np. filmu) 
