e Abschwächung/Betonung	os³abienie/podkreœlenie 
r Hai, -e	rekin (+ Pl.)
e Einsamkeit	samotnoœæ 
sich anfreunden mit D	oswoiæ siê z [czymœ]/zaprzyjaŸniæ siê z [kimœ] 
bewältigen	pokonywaæ (np. trudnoœci) 
s Verantwortungbewusstsein	poczucie odpowiedzialnoœci 
sich hocharbeiten	wypracowywaæ sobie wysok¹ pozycjê 
e Pinzette	pêseta 
Ich teile deine Ansicht nicht, da ...	Nie podzielam twojej opinii, bo ... 
einen Anreiz bieten etw zu tun	zachêcaæ do zrobienia czegoœ 
e Reform, -en	reforma (+ Pl.)
r Reif	szron, szadŸ 
aus-blenden	wycinaæ (np. scenê), wyciszaæ (np. muzykê) 
könnte	przypuszczalnie (mod.) (ok. 60%) 
s Wachs	wosk 
Wie alt bist du eigentlich?	Ile (w³aœciwie) masz lat? 
stechen	k³uæ 
r Schmetterling	motyl 
gut möglich	ca³kiem mo¿liwe (ok. 75%) 
e Scham	wstyd 
r Unsinn	bezsensownoœæ 
gegebenfalls	ewentualnie 
Schäden beseitigen	naprawiaæ szkody 
e Biene, -n	pszczo³a (+ Pl.)
weder ... noch ...	ani ... ani ... 
Häckche 
s Gutachten	ekspertyza, orzeczenie 
unerwarteterweise	nieoczekiwanie 
ängstig	bojaŸliwy 
entrichten	regulowaæ (np. op³aty), odprowadzaæ (np. podatki) 
hervorragend	wybitny 
e Warnung	ostrze¿enie 
vertrocknen	usychaæ (ga³¹Ÿ, roœlina) 
nass	mokry 
zuzüglich Nebenkosten	doliczaj¹c koszty eksploatacji 
berechnend	wyrachowany 
sich D entziehen	unikn¹æ [czegoœ] 
Verstoß gegen die Hausordnung	wykroczenie przeciwko porz¹dkowi domowemu 
e Heiterkeit	pogoda ducha 
e Abneigung	niechêæ, antypatia 
