e Annäherung	zbli¿enie siê 
s Mitgefühl	wspó³czucie 
selbstbezogen	narcystyczny, egoistyczny 
nach wie vor	w dalszym ci¹gu 
e Lawine	lawina 
r Leichtsinn	lekkomyœlnoœæ 
befristet/unbefristet	na czas okreœlony/nieokreœlony 
jdm die Daumen drücken	trzymaæ z kogoœ kciuki 
fördern	wspieraæ, wspomagaæ 
vernünftig	rozs¹dny 
Kapitel 10 - Raus in die Welt 
ab-halten von D	powstrzymywaæ od [czegoœ] 
e Vereinheitlichung	ujednolicenie 
e Ente, -n	kaczka (+ Pl.)
e Auslandsvertretung	przedstawicielstwo zagraniczne 
sich bewähren	sprawdziæ siê 
eine Bedrohung wahrnehmen	dostrzegaæ zagro¿enie 
e Bö, -en	poryw wiatru (+ Pl.)
ausreichend	wystarczaj¹cy 
e Berechnung	wyrachowanie 
jedoch	jednak 
bescheiden	skromny 
e Feder, -n	pióro (+ Pl.)
e Betriebsrat	rada zak³adowa 
untern Wasser stehen	staæ pod wod¹ 
verdecken	przykrywaæ 
gefrieren	zamarzaæ 
an-greifen	atakowaæ 
r Werktag	dzieñ roboczy 
auf jeden/keinene Fall	na pewno (a.j.f.) (ok. 98%) 
e Spinne	paj¹k 
sachlich	rzeczowy 
Der Wind bläst.	Wiatr dmie. 
umfangreich	obszerny, rozleg³y 
wahrscheinlich	prawdopodobnie (ok. 75%) 
s Gesundheitswesen	opieka zdrowotna 
wünschenswert	godny po¿¹dania 
ganz sicher nicht	na pewno nie (ok. 98%) 
bejahen	przytakn¹æ 
e Nachfrage	popyt 
