e Feierlichkeit	uroczystoœæ 
e Meisterleistung	mistrzowski wyczyn 
weben	tkaæ (np. pajêczynê) 
reinigen	oczyszczaæ 
verkörpern	ucieleœniaæ 
tiefe Dunkelheit	g³êboka ciemnoœæ 
jdm schmeicheln	schlebiaæ komuœ 
Der Film handelt um ...	Film opowiada o ... 
unvermindert	nies³abn¹cy 
fristlos kündigen	wypowiedzieæ bezzw³ocznie (np. umowê) 
r Löwenzahn	mniszek lekarski 
r Vulkanausbruch, ü-e	wybuch (erupcja) wulkanu (+ Pl.)
r Gesichtsausdruck	wyraz twarzy 
sich fehl am Platz fühlen	czuæ siê na niew³aœciwym miejscu 
unscheinbar	niepozorny 
s Entgegenkommen	zrozumienie, przychylnoœæ 
jdn umarmen	obejmowaæ [kogoœ] 
s Seil, -e	lina (+ Pl.)
e Hauptperson, -en	g³ówny bohater (+ Pl.)
e Einbürgerung	naturalizacja 
ratlos	bezradny 
e Eifersucht	zazdroœæ (o kogoœ) 
hautnah erleben	prze¿yæ na w³asnej skórze 
eine Genehmigung erhalten	uzyskaæ zezwolenie 
entlassen	zwolniæ (np. z pracy)/wypisaæ (np. ze szpitala) 
überqueren	przekraczaæ (np. rzekê, ulicê) 
erschöpfen	wyczerpywaæ (si³y) 
bezaubernd	czaruj¹cy 
sich amüsieren	bawiæ siê 
befriedigend	zadowalaj¹cy/dostateczny 
s Verständnis	zrozumienie 
eventuell	ewentualnie (ok. 50%) 
s Geräusch, -e	odg³os (+ Pl.)
e Schuld ab-zahlen	sp³acaæ d³ug 
vor Schüchternheit erröten	zaczerwieniæ siê z nieœmia³oœci 
r Einwand, ä-e	zarzut (+ Pl.)
e Wüste	pustynia 
nach-bilden	imitowaæ, kopiowaæ 
Macht es Ihnen etwas, wenn …?	Czy bêdzie panu przeszkadza³o, jeœli …? 
e Schranke, -n	bariera (+ Pl.)
