e Einschränkung, -en	ograniczenie (+ Pl.)
saftig	soczysty (owoc), bujny (roœlinnoœæ) 
sämtlich	ca³kowicie 
sich anschmiegen an A	przytuliæ siê do [kogoœ] 
im Schnee fest-fahren	ugrzêzn¹æ w œniegu 
nach-hängen	wspominaæ 
r Bogen	arkusz papieru 
vielleicht	mo¿e (ok. 50%) 
gegen Unterkunft arbeiten	pracowaæ za nocleg 
e Schlange, -n	w¹¿ (+ Pl.)
jemanden korrekt/falsch anreden	zwróciæ siê do kogoœ poprawnie/niepoprawnie 
e Jahreszeit	pora roku 
r Aufsichtsrat, ä-e	rada nadzorcza (+ Pl.)
s Hochwasser	powódŸ, wielka woda 
e Vorliebe	upodobanie, sk³onnoœæ 
Rollschuh laufen	jeŸdziæ na wrotkach 
s Gedächtnis, -se	pamiêæ (+ Pl.)
einen Drachen steigen lassen	puszczaæ latawca 
gleichwertig	równowartoœciowy (np. zastêpca) 
e Gesamtheit	spo³ecznoœæ 
je ... desto ...	im ... tym ... 
leichtsinnig	lekkomyœlny 
r Erdrutsch, -e	osuniêcie siê ziemi (+ Pl.)
r Matsch	b³oto 
überwaltigen	opanowaæ/ogarniaæ (np. ogarn¹³ go smutek) 
verschiedener/derselben Meinung sein	byæ ró¿nego/tego samego zdania 
etw nachfordern	za¿¹daæ czegoœ dodatkowo 
erfrieren	zamarzaæ (o cz³owieku, roœlinie) 
r Sonnenaufgang/r Sonnenuntergang, ä-e	wschód/zachód S³oñca 
r Fleck, -e	plama (+ Pl.)
ein Anliegen nennen	wy³o¿yæ sprawê 
jdn auf-fordern etw zu tun	wezwaæ kogoœ do zrobiena czegoœ 
r Eisberg	góra lodowa 
r Ärger	z³oœæ, gniew 
r Zweig, -e	ga³¹Ÿ (+ Pl.)
e Beendigung des Vertrags	zakoñczenie umowy 
ungewohnt	niezwyk³y, nietypowy 
e Übernahme	przejêcie (w posiadanie) 
r Hurrikan, -e	huragan (+ Pl.)
vorsichtig	przezorny, ostro¿ny 
