mögen	mo¿e (mod.) (ok. 40%) 
erwähnen	wspominaæ 
auf jdn eingehen	odpowiedzieæ komuœ 
r Schlitten	sanki 
nachteilig sein an D	byæ niekorzystnym w [czymœ] (np. w jakimœ pomyœle) 
aussichtslos	beznadziejny, bezcelowy 
misstrauisch	nieufny 
erforderlich	konieczny, wymagany 
angeboren	wrodzony 
e Furcht	obawa, strach 
r Neid	zazdroœæ (o coœ) 
tarnen	maskowaæ, kamuflowaæ 
s Reh, -e	sarna (+ Pl.)
e Impfung	szczepienie 
sich eine Woche frei-nehmen	wzi¹æ sobie tydzieñ wolnego 
e Freude	radoœæ 
erröten	czerwieniæ siê 
r Wirtschaftszweig, -e	ga³¹Ÿ gospodarki (+ Pl.)
Besuchen Sie mich mal!	Odwiedzi³by mnie Pan kiedyœ! 
zwar ... aber ...	wprawdzie ... ale ... 
sich verkriechen	zaszywaæ, chowaæ siê 
nichtssagend	nid nie mówi¹cy 
r Igel, -	je¿ (+ Pl.)
die Augen niederschlagen	spuszczaæ oczy 
Ich bin gerührt.	Jestem wzruszony. 
feucht	wilgotny, mokry 
r Zwiespalt, -e	rozterka (+ Pl.)
r Geysir, -e	gejzer (+ Pl.)
s Erstaunen	zdziwienie 
mitunter	niekiedy 
bestimmt	na pewno (b.) (ok. 98%) 
unerschöpflich	niewyczerpany 
verblühen	przekwitn¹æ 
heftig	silny, gwa³towny 
übermäßig	nadmierny 
e Scham	wstyd 
Kapitel 9 - Gefühle 
Das ist einfach unangenehm.	To jest (po prostu) nieprzyjemne. 
eine Gebühr als Sicherleistung erheben	pobraæ op³atê jako zabezpieczenie 
dennoch	jednak¿e, przecie¿ 
