den Kontakt aufrecht erhalten/abbrechen	podtrzymywaæ/zerwaæ kontakt 
ums Leben kommen	umrzeæ, zgin¹æ 
bahnbrechende Entdeckung	prze³omowe odkrycie 
e Hausordnung	porz¹dek domowy 
r Nebendarsteller	aktor drugoplanowy 
hingegen	natomiast 
r Regenbogen	têcza 
r Rausch, ä-e	sza³/upojenie alkoholowe (+ Pl.)
r Bedarf	potrzeba 
Dach übern Kopf verlieren	straciæ dach nad g³ow¹ 
e Zange	szczypce, kleszcze 
s Quecksilber	rtêæ 
Er arbeitet wohl bei Militär.	On (chyba) pracuje w wojsku. 
atemberaubend	zapieraj¹cy dech 
r Versager, -	nieudacznik (+ Pl.)
beseitigen	likwidowaæ (szkody) 
s Vorbild, -er	wzór (+ Pl.)
s Hochgefühl, ü-e	uczucie dumy/triumfu (+ Pl.)
r Waldbrand, ä-e	po¿ar lasu (+ Pl.)
vorteilhaft sein an D	byæ korzystnym w [czymœ] (np. w jakimœ pomyœle) 
zufällig	przypadkowo 
ehrenamtlicher Helfer	honorowy wolontariusz (bez wynagrodzenia) 
r Schreck	strach 
e Kündigung	wypowiedzienie (np. umowy) 
e Gegenüberstellung	konfrontacja 
münden	uchodziæ (o rzece) 
infolge	wskutek 
kahl	³ysy (cz³owiek), bez liœci (drzewo) 
e Festigung	umocnienie 
erahnen	przeczuwaæ 
r Lautsprecher	g³oœnik 
nahelegen	sugerowaæ 
einsichtig	wyrozumia³y 
e Niederlassung	osiedlenie siê 
laut + G	wed³ug (np. wg. prasy) 
e Mehrheit	wiêkszoœæ 
e Hochstimmung	radosny/uroczysty nastrój 
darüber hinaus	poza tym 
r Blizzard	burza œnie¿na 
r Sandsturm	burza piaskowa 
