r Flügel	skrzyd³o 
kann	mo¿e (mod.) (ok. 50%) 
dazwischenfragen	przerwaæ wypowiedŸ pytaniem 
sowohl ... als auch ...	zarówno ... jak i ... 
r Geruch	zapach 
r Umfang, ä-e	zakres (+ Pl.)
im Voraus bezahlen	zap³aciæ z góry 
einen Unfall überleben	prze¿yæ wypadek 
r Ärmel, -	rêkaw (+ Pl.)
r Nacken, -	kark (+ Pl.)
r Pilz	grzyb 
gegen die Hausordnung verstoßen	wykroczyæ przeciwko regulaminowi domu 
welken	wiêdn¹æ 
ab-raten von D	odradzaæ [coœ] 
meines Erachtens	moim zdaniem (m. E.) 
e Stiftung	fundacja 
dürr	uschniêty, ja³owy 
festigen	umacniaæ (np. charakter) 
r Verlust, -e	utrata, zguba (+ Pl.)
die Lawine geht ab	lawina schodzi 
s Eisstadion, -ien	lodowisko (+ Pl.)
s Gewitter	burza 
r Wandervogel, ö-	niesta³y cz³owiek (+ Pl.)
r Ekel	wstrêt, obrzydzenie 
r Erpresser	szanta¿ysta 
e Haftung	odpowiedzialnoœæ (np. prawna) 
e Anpassung	dopasowanie 
möglicherweise	mo¿liwe (ok. 60%) 
e Klette	rzep (roœlina) 
e Schale	skorupa, pancerz 
fast sicher	prawie na pewno (ok. 90%) 
e Tarnung	kamufla¿ 
r Meeresspiegel steigt an	poziom morza siê podnosi 
Gern geschehen!	ca³a przyjemnoœæ po mojej stronie 
sich D überlegen, ob …	zastanawiaæ siê, czy … 
s Heu	siano 
e Belange	interesy 
jdm Bescheid geben	daæ komuœ znaæ o [czymœ] 
e Mücke, -n	komar (+ Pl.)
e Wurzel, -	korzeñ (+ Pl.)
hervorheben	podkreœlaæ 
eine Krise durchleben	prze¿ywaæ kryzys 
etw absichtlich/unabsichtlich tun	zrobiæ coœ celowo/nieumyœlnie 
Vorschriften einhalten	przestrzegaæ przepisów 
e Empfindung	uczucie, odczucie 
jdm etwas aus-machen	przeszkadzaæ komuœ 
Es hört auf.	Przestaje (padaæ). 
Ich bin doch verheiratet.	Jestem (przecie¿) ¿onaty. 
e Akkulturation	akulturacja 
sicher	na pewno (s.) (ok. 98%) 
jdm begegnen	spotkaæ kogoœ 
begünstigen	sprzyjaæ (czemuœ) 
