r Ansporn	zachêta (A) 
unerträglich	nieznoœny 
weitaus	o wiele 
auf diese Art un Weise	w ten oto sposób 
sickern	s¹czyæ, przeciekaæ (ciecz, informacja) 
r Verbrauch von D	zu¿ycie [czegoœ] 
hinter Gitter kommen	trafiæ za kratki 
erneuerbar	odnawialny 
sinngemäß	w sposób oddaj¹cy sens 
Geld scheffeln	zgarn¹æ kasê 
s Urteil, -e	os¹d, opinia (+ Pl.)
jdn schlechtmachen	oczerniæ kogoœ 
ab-mildern	³agodziæ 
e Ermutigung	zachêta (E) 
e Gegenmaßnahme, -n	œrodek zapobiegawczy (+ Pl.)
plakativ	obrazowo (przedstawione) 
s Ozonloch	dziura ozonowa 
grauenhaft	koszmarny, okropny 
r Aschenmittwoch	Œroda Popielcowa 
r Rosenmontag	ostatni poniedzia³ek karnawa³u 
e Weide	wierzba 
s Anführungszeichen	cudzys³ów 
vorhanden	dostêpny, istniej¹cy 
s Getreide	zbo¿e 
e Energiequelle	Ÿród³o energii 
alles Erdenkliche tun	czyniæ wszystko, co mo¿liwe 
sich einer Verpflichtung entledigen	wywi¹zaæ siê ze zobowi¹zania 
r Pfarrer	ksi¹dz/pastor 
stets	zawsze 
vermeintlich	domniemany, rzekomy 
etw bedauern	¿a³owaæ czegoœ 
r Kollektor	kolektor 
e Industrialisierung	uprzemys³owienie, industrializacja 
umgerechnet	w przeliczeniu 
jdn treiben zu D	doprowadziæ kogoœ do [czegoœ] 
e Windkraft	energia wiatrowa 
an D vorüber gehen	przechodziæ obok [czegoœ] 
r Rennstall, ä-e	stajnia wyœcigowa (+ Pl.)
s Erdöl	ropa naftowa 
e Kohle	wêgiel 
