e Einsparung	zaoszczêdzenie (fakt zaoszczêdzenia) 
ins Freie kommen	wyjœæ na zewn¹trz 
jdm Recht geben	przyznaæ komuœ racjê 
fossiler Brennstoff	paliwo kopalne 
s Holz	drewno 
hinterlassen	zostawiæ po sobie 
e Wasserkraft	energia wodna 
zynisch	cyniczny 
e Braut, ä-e	panna m³oda (+ Pl.)
schwärmen von D	zachwycaæ siê 
vergewaltigen	gwa³ciæ 
e Eiszeit, -en	epoka lodowcowa (+ Pl.)
r Richter, -	sêdzia (+ Pl.)
e Sparsamkeit	oszczêdnoœæ (cecha) 
verwüsten	pustoszyæ 
r Haken	sêk, trudnoœæ 
angeblich	rzekomo 
erschüttern	wstrz¹sn¹æ czymœ (wybuch, wiadomoœæ) 
e Gewalt	w³adza 
r Weltuntergang	koniec œwiata 
s Fossil, -ien	skamienia³oœæ (+ Pl.)
übersteigen	przerastaæ (np. oczekiwania) 
e Solaranlage, -n	instalacja solarna (+ Pl.)
e Windmülle	wiatrak (m³yn wiatrowy) 
zurasen auf D	pêdziæ w kierunku 
etw um das Zehnfache zu erhöhen	zwiêkszyæ siê dziesiêciokrotnie 
s Heldentum	bohaterstwo 
Beteiligte	uczestnik, zainteresowany 
stumm	niemy, milcz¹cy 
an-klagen	oskar¿aæ 
Kapazität	pojemnoœæ, zdolnoœæ produkcyjna 
sexueller Missbrauch	wykorzystywanie seksualne 
s Kraftwerk	elektrownia 
e Atomenergie	energia atomowa 
widerstandsfähig	wytrzyma³y, odporny 
auf die Dauer	na d³u¿sz¹ metê 
behüten	chroniæ, strzec 
r Angeklagte, -n	oskar¿ony (+ Pl.)
erzeugen	wytwarzaæ 
