r Angeklagte, -n	oskar¿ony (+ Pl.)
an-klagen	oskar¿aæ 
r Richter, -	sêdzia (+ Pl.)
s Ozonloch	dziura ozonowa 
e Industrialisierung	uprzemys³owienie, industrializacja 
s Abgas, -e	spaliny (+ Pl.)
e Erderwärmung	ocieplenie klimatu 
r Treibhauseffekt	efekt cieplarniany 
e Gegenmaßnahme, -n	œrodek zapobiegawczy (+ Pl.)
erneuerbar	odnawialny 
e Mülltrennung	sortowanie odpadów 
r Klimawandel	zmiana klimatu 
r Vorbote, -n	zwiastun (jakiegoœ zjawiska) (+ Pl.)
r Ansporn	zachêta (A) 
e Ermutigung	zachêta (E) 
plakativ	obrazowo (przedstawione) 
sich einer Verpflichtung entledigen	wywi¹zaæ siê ze zobowi¹zania 
zurasen auf D	pêdziæ w kierunku 
r Weltuntergang	koniec œwiata 
ab-mildern	³agodziæ 
r Aberglaube	przes¹d, zabobon 
widerstandsfähig	wytrzyma³y, odporny 
jdm etw erwidern	odpowiedzieæ/odwzajemniæ komuœ coœ 
e Gewalt	w³adza 
angesichts G	w obliczu [czegoœ] 
s Heizöl	olej opa³owy 
r Ausstoß	emisja, wydzielanie (np. spalin) 
alles Erdenkliche tun	czyniæ wszystko, co mo¿liwe 
sich bekennen zu D	przyznaæ siê do [czegoœ] 
aus-richten	przekazaæ (informacjê) 
schwärmen von D	zachwycaæ siê 
sich schwärmen in A	gromadziæ siê w [jakimœ miejscu] 
sich weigern etw zu tun	wzbraniaæ siê przed zrobieniem czegoœ 
jdm Recht geben	przyznaæ komuœ racjê 
s Urteil, -e	os¹d, opinia (+ Pl.)
e Braut, ä-e	panna m³oda (+ Pl.)
r Bräutigam, -e	pan m³ody (+ Pl.)
r Pfarrer	ksi¹dz/pastor 
e Niederlage	klêska, pora¿ka 
übersteigen	przerastaæ (np. oczekiwania) 
stumm	niemy, milcz¹cy 
ins Freie kommen	wyjœæ na zewn¹trz 
e Solaranlage, -n	instalacja solarna (+ Pl.)
s Kraftwerk	elektrownia 
e Windmülle	wiatrak (m³yn wiatrowy) 
e Turbine	turbina 
r Kollektor	kolektor 
s Getreide	zbo¿e 
e Weide	wierzba 
s Holz	drewno 
e Kohle	wêgiel 
s Erdöl	ropa naftowa 
s Erdgas	gaz ziemny 
s Fossil, -ien	skamienia³oœæ (+ Pl.)
e Energiequelle	Ÿród³o energii 
fossiler Brennstoff	paliwo kopalne 
e Wasserkraft	energia wodna 
r Zuwachs, ä-e	przyrost, wzrost (+ Pl.)
zur Neige gehen	chyliæ siê ku koñcowi 
an D vorüber gehen	przechodziæ obok [czegoœ] 
ab-nehmen/zu-nehmen	zwiêkszaæ/zmniejszaæ siê 
r Haken	sêk, trudnoœæ 
r Verfasser	autor 
verwüsten	pustoszyæ 
jdn treiben zu D	doprowadziæ kogoœ do [czegoœ] 
zynisch	cyniczny 
auf die Dauer	na d³u¿sz¹ metê 
vollständig	kompletny, ca³kowity 
vermeintlich	domniemany, rzekomy 
etw zustande bringen	doprowadziæ do czegoœ 
weitaus	o wiele 
e Eiszeit, -en	epoka lodowcowa (+ Pl.)
r Vorrat, ä-e	zasób (+ Pl.)
in Anbetracht G	z uwagi na [coœ] 
erzeugen	wytwarzaæ 
e Windkraft	energia wiatrowa 
vorhanden	dostêpny, istniej¹cy 
r Ausstieg aus D	rezygnacja z [czegoœ] 
s Atomkraftwerk	elektrownia atomowa 
e Atomenergie	energia atomowa 
r Verbrauch von D	zu¿ycie [czegoœ] 
s Anführungszeichen	cudzys³ów 
sinngemäß	w sposób oddaj¹cy sens 
e Maßnahme, -n	œrodek, krok (+ Pl.)
s Windrad, ä-er	wiatrak (generator en. elektr.) (+ Pl.)
angeblich	rzekomo 
Kapazität	pojemnoœæ, zdolnoœæ produkcyjna 
etw um das Zehnfache zu erhöhen	zwiêkszyæ siê dziesiêciokrotnie 
r Umzug, ü-e	pochód (+ Pl.)
r Aschenmittwoch	Œroda Popielcowa 
r Rosenmontag	ostatni poniedzia³ek karnawa³u 
e Einsparung	zaoszczêdzenie (fakt zaoszczêdzenia) 
e Sparsamkeit	oszczêdnoœæ (cecha) 
s Ersparnis, -se	oszczêdnoœci (zaoszcz. suma) (+ Pl.)
e Lärmbelastigung	nadmierne natê¿enie ha³asu 
e Belastung	obci¹¿enie 
etw bedauern	¿a³owaæ czegoœ 
verunstalten	szpeciæ 
sexueller Missbrauch	wykorzystywanie seksualne 
erschüttern	wstrz¹sn¹æ czymœ (wybuch, wiadomoœæ) 
grauenhaft	koszmarny, okropny 
r Held, -en	bohater (od bohaterstwo) (+ Pl.)
s Heldentum	bohaterstwo 
hinterlassen	zostawiæ po sobie 
Vorwürfe machen	czyniæ wyrzuty 
vergewaltigen	gwa³ciæ 
unerträglich	nieznoœny 
hinter Gitter kommen	trafiæ za kratki 
auf diese Art un Weise	w ten oto sposób 
stets	zawsze 
jdn schlechtmachen	oczerniæ kogoœ 
behüten	chroniæ, strzec 
sickern	s¹czyæ, przeciekaæ (ciecz, informacja) 
s Honorar, -e	honorarium (+ Pl.)
umgerechnet	w przeliczeniu 
Beteiligte	uczestnik, zainteresowany 
r Rennstall, ä-e	stajnia wyœcigowa (+ Pl.)
waghalsig	ryzykowny 
Geld scheffeln	zgarn¹æ kasê 
