selbstbezogen	narcystyczny, egoistyczny 
vorwiegend	przewa¿nie 
anstatt	zamiast 
jedoch	jednak 
weiterhin	nadal/ponadto 
r Umgang	obchodzenie siê 
ferner	poza tym/dalej 
erwähnen	wspominaæ 
freiwillig	dobrowolny, ochotniczy 
dazwischenfragen	przerwaæ wypowiedŸ pytaniem 
verlangen	¿¹daæ, domagaæ siê 
gegen Unterkunft arbeiten	pracowaæ za nocleg 
Gern geschehen!	ca³a przyjemnoœæ po mojej stronie 
einer Verlängerung stattgeben	uwzglêdniæ przed³u¿enie (np. umowy) 
einen Beitrag entrichten	odprowadziæ sk³adkê/op³atê 
Vorschriften einhalten	przestrzegaæ przepisów 
Schäden beseitigen	naprawiaæ szkody 
im Voraus bezahlen	zap³aciæ z góry 
für die Schäden haften	odpowiadaæ za szkody 
schuldhaftes Verhalten	karygodne zachowanie 
Verstoß gegen die Hausordnung	wykroczenie przeciwko porz¹dkowi domowemu 
Mietrückstand von 2 Monaten	zaleg³y dwumiesiêczny czynsz 
etwas zu gewerblichen Zwecken nutzen	u¿ywaæ czegoœ do celów rzemieœlniczych/przemys³owych 
eine Untervermietung ist nicht gestattet	podnajmowanie jest niedozwolone 
fristlos kündigen	wypowiedzieæ bezzw³ocznie (np. umowê) 
e Jahreszeit	pora roku 
mild	³agodny (np. klimat) 
gefrieren	zamarzaæ 
ein-frieren	zamarzaæ 
erfrieren	zamarzaæ (o cz³owieku, roœlinie) 
kahl	³ysy (cz³owiek), bez liœci (drzewo) 
r Ast, ä-e	konar (+ Pl.)
s Reh, -e	sarna (+ Pl.)
s Kraut, ä-er	zio³o (+ Pl.)
verblühen	przekwitn¹æ 
vertrocknen	usychaæ (ga³¹Ÿ, roœlina) 
r Igel, -	je¿ (+ Pl.)
feucht	wilgotny, mokry 
r Frosch, ö-e	¿aba (+ Pl.)
e Wurzel, -	korzeñ (+ Pl.)
saftig	soczysty (owoc), bujny (roœlinnoœæ) 
e Blüte, -n	kwiat (+ Pl.)
e Mücke, -n	komar (+ Pl.)
welken	wiêdn¹æ 
schattig	cienisty, zacieniony 
e Biene, -n	pszczo³a (+ Pl.)
s Unkraut, ä-er	chwast (+ Pl.)
s Laub	listowie 
tiefe Dunkelheit	g³êboka ciemnoœæ 
Der Sturm nimmt zu.	Burza siê wzmaga. 
Der Wind bläst.	Wiatr dmie. 
blasen, bläst, blies, h, geblasen	d¹æ, wiaæ (o wietrze) (+ Präsens, Imperfekt, P. II)
Es hört auf.	Przestaje (padaæ). 
Es ist glatt.	Jest œlisko. 
Das Eis trägt.	Lód jest twardy (wystarczaj¹co do je¿d¿enia na ³y¿wach). 
nass	mokry 
hitzefrei bekommen	nie mieæ zajêæ z powodu upa³u 
r Reif	szron, szadŸ 
e Tulpe, -n	tulipan (+ Pl.)
e Narzisse, -n	narcyz (+ Pl.)
r Krokus, -se	krokus (+ Pl.)
s Geräusch, -e	odg³os (+ Pl.)
