jdn beneiden um A	zazdroœciæ komuœ [czegoœ] 
r Neid auf A	zazdroœæ [czegoœ] 
sich freuen über A/auf A	cieszyæ siê z [czegoœ]/na [coœ] 
e Freude über A/auf A	radoœæ z [czegoœ]/na [coœ] 
sich sehnen nach D	têskniæ za [czymœ] 
e Sehnsucht nach D	têsknota za [czymœ] 
trauern um A	op³akiwaæ [kogoœ/coœ] 
e Trauer um A	¿a³oba po [kimœ] 
sich ekeln vor D	brzydziæ siê [czegoœ] 
r Ekel vor D	obrzydzenie [z powodu] 
jdn bemitleiden	wspó³czuæ komuœ 
s Mitleid mit D	wspó³czucie [dla kogoœ] 
sich ärgern über A	z³oœciæ siê na [coœ] 
r Ärger über A	z³oœæ na [coœ] 
sich fürchten vor D	obawiaæ siê [czegoœ] 
e Furcht vor D	obawa przed [czymœ] 
begeistert sein von D	byæ zachwyconym [czymœ] 
besorgt sein über A	martwiæ siê z powodu [czegoœ] 
dankbar sein für A	byæ wdziêcznym za [coœ] 
eifersüchtig sein auf	byæ zazdrosnym o [kogoœ] 
entsetzt sein über A	byæ przera¿onym [czymœ] 
erstaunt sein über A	byæ zdziwionym [czymœ] 
enttäuscht über A/von D	byæ rozczarowanym [czymœ] 
froh sein über A	byæ zadowolonym z [czegoœ] (f.) 
gerührt sein von D	byæ poruszonym z powodu [czegoœ] 
glücklich sein über A	byæ szczêœliwym z powodu [czegoœ] 
stolz sein auf	byæ dumnym z [czegoœ] 
traurig sein über A	byæ smutnym z powodu [czegoœ] 
verärgert sein über A	byæ zirytowanym [czymœ] 
wütend sein auf/über A	byæ wœciek³ym na [coœ]/z powodu [czegoœ] 
zufrieden sein mit D	byæ zadowolonym z [czegoœ] (z.) 
eine Bedrohung wahr-nehmen	dostrzegaæ zagro¿enie 
eine Gefahr erahnen	przeczuwaæ niebezpieczeñstwo 
Sehnsucht spüren	odczuwaæ têsknotê 
Schmerzen fühlen	odczuwaæ bóle 
Trauer empfinden	odczuwaæ smutek 
von Liebe erfüllt sein	byæ przepe³nionym mi³oœci¹ 
eine Krise durchleben	prze¿ywaæ kryzys 
beliebt sein bei D	byæ lubianym przez [kogoœ] 
verliebt sein in D	byæ zakochanym w [kimœ] 
verheiratet mit D	byæ ¿onatym/zamê¿n¹ z [kimœ] 
Angst vor D	strach przed [czymœ] 
Lust auf A	ochota na [coœ] 
neidisch sein auf A	byæ zazdrosnym o [coœ] 
Mitleid haben mit D	u¿alaæ siê/mieæ litoœæ nad [kimœ] 
sich schämen vor D/für A	wstydziæ siê przed [kimœ]/za [kogoœ] 
müde sein von D	byæ zmêczonym [czymœ] 




















































































































































































































































































































































































































































































































































































