launisch	grymaśny 
entspannt/gespannt	rozluźniony/spięty 
Lass dir deshalb keine grauen Haare wachsen.	Nie martw się o to. (przysł.) 
Er kann niemandem ein Haar krümmen.	On nie skrzywdziłby nikogo. (przysł.) 
schlampig/elegant	niechlujny/elegancki 
selbstbewusst	pewny siebie 
Abwarten und Tee trinken.	Trzeba spokojnie odczekać. (przysł.) 
kultiviert/unkultiviert	kulturalny/niekulturalny 
plumpt	ociężały 
optimistisch/pessimistisch	optymistyczny/pesymistyczny 
höflich/unhöflich	uprzejmy/nieuprzejmy 
Sie findet immer in Haar in der Suppe.	Ona zawsze znajdzie coś do skrytykowania. (przysł.) 
dürr	chudy (suchy) 
konservativ/progressiv	konserwatywny/postępowy 
gut gelaunt	w dobrym humorze 
oberflächlich	powierzchowny 
locker/pingelig	rozluźniony/drobiazgowy 
warmherzig	serdeczny, ciepły 
sympatisch/unsympatisch	sympatyczny/niesympatyczny 
egoistisch	egoistyczny 
hässlich/schön	brzydki/ładny 
aktiv/passiv	aktywny/pasywny 
Sie hat Haare auf den Zähnen.	Ona szuka kłótni i chce mieć zawsze rację. (przysł.) 
Sie haben sich mal wieder in die Haare gekriegt.	Oni znowu się pokłócili. (przysł.) 
schmutzig/sauber	brudny/czysty 
freundlich/unfreundlich	przyjazny/nieprzyjazny 
gerecht/ungerecht	sprawiedliwy/niesprawiedliwy 
Das wäre um ein Haar schiefgegangen.	O mały włos poszłoby źle. 
sensibel/unsensibel	czuły/nieczuły 
schlau wie ein Fuchs	chytry jak lis 
Da stehen mir ja die Haare zu Berge!	Włosy stają mi dęba. (przysł.) 
dick/dünn	gruby/chudy 
übergewichtig/untergewichtig	z nadwagą/z niedowagą 
mutig wie ein Löwe	odważny jak lew 
hager	smukły 
