unausgeglichen	niezrównoważony (człowiek) 
streng	surowy 
r Vollbart	broda zakrywająca twarz 
mager	chudy 
beruflich gefestigt	ustabilizowany zawodowo 
geduldig/ungeduldig	cierpliwy/niecierpliwy 
schmuddelig	niechlujny 
zerzaust/gut frisiert	potargany/dobrze uczesany 
Du kannst ein Auge zudrücken.	Możesz przymknąć na to oko. (przysł.) 
feige/mutig	tchórzliwy/odważny 
dumm/klug	głupi/mądry 
hübsch	ładny (h) 
belastbar	wytrzymały 
fantasievoll	pełen fantazji 
Er benimmt sich wie ein Elefant im Porzellanladen.	Zachowuje się jak słoń w składzie porcelany. 
charmant	szarmancki 
fleißig/faul	pracowity/leniwy 
altbackene/modische Frisur	staroświecka/modna fryzura 
sanft wie ein Lamm	łagodny jak baranek 
frech wie Oskar	wyjątkowo bezczelny 
Ihr fresst mir noch die Haare vom Kopf.	Bardzo dużo jecie. (przysł.) 
gekämmt/ungekämmt	uczesany/nieuczesany 
schlank	szczupły 
Das ist doch haarsträubend.	To jest nie do pomyślenia. (przysł.) 
r Zopf	warkocz 
fleißig wie eine Biene	pracowity jak pszczoła 
e Veranlagung	predyspozycje, uzdolnienie 
nett	miły, sympatyczny 
temperamentvoll	żywiołowy 
gutmütig	dobroduszny 
vielseitig interessiert	o wielostronnych zainteresowaniach 
mollig	pulchny 
frech/brav	bezczelny/grzeczny 
distanziert	zdystansowany 
r Bart	broda (zarost) 
